,Localisation
 b_newtown,"""Newtown"""
 c_sir_faesyfed,"1 ""Ferlix"""
 b_llandrindod,"""Llandrindod"""
 b_rhayader,"""Rhuddalt"""
 c_hereford,"1 ""Herefordshire"""
 b_hereford,"""Hereford"""
 b_wigmore,"""Wigmore"""
 b_clifford,"""Clifford"""
 d_deheubarth,"""Deheubarth"""
 c_carmarthenshire,"""Carmarthenshire"""
 b_carmarthen,"""Carmarthen"""
 b_llandovery,"""Llandovery"""
 c_pembrokeshire,"1 ""Dyfed"""
 b_pembroke,"""Pembroke"""
 b_st_davids,"""St. Davids"""
 b_fishguard,"1 ""Cemais"""
 c_glamorgan,"""Glamorgan"""
 b_cardiff,"""Cardiff"""
 b_swansea,"""Swansea"""
 b_caerphilly,"""Caerphilly"""
 c_monmouthshire,"1 ""Gwent"""
 b_casnewydd,"1 ""Caerleon"""
 b_monmouth,"""Monmouth"""
 c_brecknockshire,"1 ""Brecknock"""
 b_brecon,"""Brecon"""
 b_talgarth,"""Talgarth"""
 k_scotland,"""Scotland"""
 d_albany,"""Albany"""
 c_gowrie,"""Gowrie"""
 b_st_johnston,"""St Johnston"""
 b_coupar_angus,"1 ""Scone"""
 b_crieff,"""Crieff"""
 c_fife,"""Fife"""
 b_dunfermline,"""Dunfermline"""
 b_kircaldy,"""Kircaldy"""
 b_st_andrews,"""St. Andrews"""
 c_strathearn,"""Strathearn"""
 b_stirling,"""Stirling"""
 b_callander,"""Callander"""
 b_clackmannan,"""Clackmannan"""
 c_atholl,"""Atholl"""
 b_dunkeld,"""Dunkeld"""
 b_aberfeldy,"""Aberfeldy"""
 c_angus,"""Angus"""
 b_dundee,"""Dundee"""
 b_kirriemuir,"""Kirriemuir"""
 b_mar,"""Mar"""
 c_mearns,"""Mearns"""
 b_aberdeen,"""Aberdeen"""
 b_kincardine,"""Kincardine"""
 b_ballater,"""Ballater"""
 d_the_isles,"""Mann"""
 c_isle_of_man,"1 ""Isle of Man"""
 b_castletown,"2 ""Holmwick"""
 b_ramsey,"""Ramsey"""
 d_galloway,"1 ""Strathclyde"""
 c_lennox,"""Lennox"""
 b_dumbarton,"""Dumbarton"""
 b_glasgow,"""Glasgow"""
 b_meneith,"""Meneith"""
 c_galloway,"""Galloway"""
 b_kilcudbrite,"""Kilcudbrite"""
 b_sanquhar,"""Sanquhar"""
 b_wigtown,"""Wigtown"""
 c_carrick,"""Carrick"""
 b_maybole,"""Maybole"""
 b_girvan,"""Girvan"""
 c_ayrshire,"""Ayrshire"""
 b_kyle,"""Kyle"""
 b_strathgryte,"""Strathgryte"""
 b_cunningham,"""Cunningham"""
 c_annandale,"""Annandale"""
 b_annan,"""Annan"""
 b_dumfries,"""Dumfries"""
 d_western_isles,"""the Isles"""
 c_inner_hebrides,"""Inner Hebrides"""
 b_islay,"""Islay"""
 b_arran,"""Arran"""
 b_mull,"1 ""Iona"""
 c_outer_hebrides,"""Outer Hebrides"""
 b_skye,"""Skye"""
 b_lewis,"""Lewis"""
 b_the_uists,"""Uists"""
 c_argyll,"""Argyll"""
 b_kilmarten,"""Kilmarten"""
 b_glencoe,"""Glencoe"""
 b_lomond,"""Lomond"""
 b_ardnamurchon,"""Ardnamurchon"""
 d_lothian,"""Lothian"""
 c_lothian,"""Lothian"""
 b_edinburgh,"""Edinburgh"""
 b_haddington,"""Haddington"""
 b_galashiels,"""Galashiels"""
 b_penicuick,"""Penicuick"""
 c_dunbar,"""Dunbar"""
 b_dunbar,"""Dunbar"""
 b_berwick,"""Berwick"""
 c_teviotdale,"""Teviotdale"""
 b_kelso,"""Kelso"""
 b_jedburgh,"""Jedburgh"""
 b_selkirk,"""Selkirk"""
 c_linlithgowshire,"""Linlithgowshire"""
 b_linlithgow,"""Linlithgow"""
 b_queensferry,"""Queensferry"""
 b_falkirk,"""Falkirk"""
 c_lanarkshire,"""Lanarkshire"""
 b_lanark,"""Lanark"""
 b_cadyou,"""Cadyou"""
 b_biggar,"""Biggar"""
 d_moray,"""Moray"""
 c_moray,"""Moray"""
 b_elgin,"""Elgin"""
 b_keith,"""Keith"""
 b_garioch,"""Garioch"""
 c_ross,"""Ross"""
 b_dingwall,"""Dingwall"""
 b_gairloch,"""Gairloch"""
 c_buchan,"2 ""Buchan"""
 b_banff,"""Banff"""
 b_mortlach,"""Mortlach"""
 b_peterhead,"""Peterhead"""
 c_sutherland,"""Sutherland"""
 b_dornoch,"""Dornoch"""
 b_durness,"""Durness"""
 c_caithness,"""Caithness"""
 b_thurso,"""Thurso"""
 b_wick,"""Wick"""
 c_inverness,"""Inverness"""
 b_inverness,"""Inverness"""
 b_badenoch,"""Badenoch"""
 b_glenfinnan,"""Glenfinnan"""
 k_ireland,"""Ireland"""
 d_meath,"""Meath"""
 c_dublin,"""Dublin"""
 b_dublin,"""Dublin"""
 b_wicklow,"""Wicklow"""
 b_kildare,"""Kildare"""
 b_trim,"""Trim"""
 b_drogheda,"""Drogheda"""
 c_athlone,"""Athlone"""
 b_athlone,"""Athlone"""
 b_birr,"""Birr"""
 b_uisneach,"""Uisneach"""
 d_ulster,"""Ulster"""
 c_ulster,"""Ulster"""
 b_downpatrick,"""Downpatrick"""
 b_slemish,"""Slemish"""
 b_carrickfergus,"""Carrickfergus"""
 c_oriel,"""Oriel"""
 b_dundalk,"""Dundalk"""
 b_armagh,"""Armagh"""
 b_ardee,"""Ardee"""
 c_ailech,"""Ailech"""
 b_donegal,"""Donegal"""
 b_raphoe,"""Raphoe"""
 b_fahan,"""Fahan"""
 b_derry,"""Derry"""
 d_connacht,"""Connacht"""
 c_connacht,"""Connacht"""
 b_galway,"""Galway"""
 b_castlebar,"""Castlebar"""
 b_sligo,"""Sligo"""
 b_athenry,"""Athenry"""
 c_breifne,"""Breifne"""
 b_dromahair,"""Dromahair"""
 b_belcoo,"""Belcoo"""
 b_longford,"""Longford"""
 b_cavan,"""Cavan"""
 d_leinster,"""Leinster"""
 c_leinster,"""Leinster"""
 b_wexford,"""Wexford"""
 b_enniscorthy,"""Enniscorthy"""
 b_ferns,"""Ferns"""
 b_carlow,"""Carlow"""
 c_ossory,"""Ossory"""
 b_gowran,"""Gowran"""
 b_kilkenny,"""Kilkenny"""
 b_athy,"""Athy"""
 b_carrick,"""Carrick"""
 d_munster,"""Munster"""
 c_thomond,"""Thomond"""
 b_limerick,"""Limerick"""
 b_ennis,"""Ennis"""
 b_nenagh,"""Nenagh"""
 b_roscrea,"""Roscrea"""
 c_ormond,"""Ormond"""
 b_waterford,"""Waterford"""
 b_emly,"""Emly"""
 b_clonmel,"""Clonmel"""
 c_desmond,"""Desmond"""
 b_tralee,"""Tralee"""
 b_cork,"""Cork"""
 b_kinsale,"""Kinsale"""
 b_baltimore,"""Baltimore"""
 k_cornwall,"""Cornwall"""
 e_germany,"""Germania"""
 k_saxony,"""Saxony"""
 d_anhalt,"""Anhalt"""
 c_dessau,"""Dessau"""
 b_dessau,"""Dessau"""
 b_zerbst,"""Zerbst"""
 c_halberstadt,"""Halberstadt"""
 b_halberstadt,"""Halberstadt"""
 b_werningerode,"1 ""Wernigerode"""
 b_arnstein,"""Arnstein"""
 c_magdeburg,"""Magdeburg"""
 b_magdeburg,"""Magdeburg"""
 b_mockern,"""Mockern"""
 b_gommern,"""Gommern"""
 c_blankenburg,"""Blankenburg"""
 b_blankenburg,"""Blankenburg"""
 b_hohenstein,"""Hohenstein"""
 c_mansfeld,"1 ""Mansfeld"""
 b_mansfeld,"""Mansfeld"""
 b_sangerhausen,"""Sangerhausen"""
 c_mersenburg,"""Mersenburg"""
 b_mersenburg,"""Mersenburg"""
 b_leipzig,"""Leipzig"""
 b_halle,"""Halle"""
 d_angria,"""Angria"""
 c_minden,"""Minden"""
 b_diepholz,"""Diepholz"""
 b_minden,"""Minden"""
 b_bruchhausen,"""Bruchhausen"""
 b_hoya,"""Hoya"""
 c_lippe,"""Lippe"""
 b_lippe,"""Lippe"""
 b_schwalenberg,"""Schwalenberg"""
 b_everstein,"""Everstein"""
 c_bremen,"""Bremen"""
 b_bremen,"""Bremen"""
 b_verden,"""Verden"""
 b_zeven,"""Zeven"""
 c_wolpe,"""Wolpe"""
 b_wolpe,"""Wolpe"""
 b_schauenburg,"""Schauenburg"""
 b_depenau,"""Depenau"""
 c_hannover,"""Hannover"""
 b_hannover,"""Hannover"""
 b_wunsdorf,"""Wunsdorf"""
 b_woldenberg,"""Woldenberg"""
 c_hildesheim,"""Hildesheim"""
 b_hildesheim,"""Hildesheim"""
 b_homburg,"""Homburg"""
 b_dassel,"""Dassel"""
 c_oldenburg,"""Oldenburg"""
 b_oldenburg,"""Oldenburg"""
 b_leer,"""Leer"""
 b_twistringen,"""Twistringen"""
 d_westfalen,"""Westfalen"""
 c_osnabruck,"""Osnabrück"""
 b_osnabruck,"""Osnabrück"""
 b_ravensberg,"""Ravensberg"""
 b_vechta,"""Vechta"""
 b_cloppenburg,"""Cloppenburg"""
 c_tecklenburg,"""Tecklenburg"""
 b_tecklenburg,"""Tecklenburg"""
 b_papenburg,"""Papenburg"""
 b_meppen,"""Meppen"""
 b_bentheim,"""Bentheim"""
 c_munster,"""Munster"""
 b_munster,"""Münster"""
 b_warendorf,"""Warendorf"""
 b_ahlen,"""Ahlen"""
 b_soest,"""Soest"""
 c_waldeck,"""Waldeck"""
 b_waldeck,"""Waldeck"""
 b_wittenstein,"""Wittenstein"""
 b_buren,"""Buren"""
 c_paderborn,"""Paderborn"""
 b_paderborn,"""Paderborn"""
 b_brakel,"""Brakel"""
 b_wiedenbruck,"""Wiedenbruck"""
 b_lippstadt,"""Lippstadt"""
 d_ostfalen,"""Ostfalen"""
 c_luneburg,"""Lüneburg"""
 b_luneburg,"""Lüneburg"""
 b_uelzen,"""Uelzen"""
 b_walsrode,"""Walsrode"""
 b_celle,"""Celle"""
 c_brunswick,"""Brunswick"""
 b_brunswick,"""Brunswick"""
 b_wolfenbuttel,"""Wolfenbüttel"""
 c_hamburg,"""Hamburg"""
 b_hamburg,"""Hamburg"""
 b_buxtehude,"""Buxtehude"""
 b_ahrensburg,"""Ahrensburg"""
 c_dannenberg,"""Dannenberg"""
 b_dannenberg,"""Dannenberg"""
 b_luchow,"""Lüchow"""
 b_gifhorn,"""Gifhorn"""
 c_stendal,"""Stendal"""
 b_stendal,"""Stendal"""
 b_gardelegen,"""Gardelegen"""
 b_werben,"""Weben"""
 d_meissen,"""Meissen"""
 c_meissen,"""Meissen"""
 b_meissen,"""Meissen"""
 b_radebeul,"""Radebeul"""
 b_grossenhain,"""Grossenhain"""
 c_dresden,"""Dresden"""
 b_dresden,"""Dresden"""
 b_bischofswerda,"""Bischofswerda"""
 b_freiberg,"""Freisberg"""
 c_wolkenstein,"""Wolkenstein"""
 b_wolkenstein,"""Wolkenstein"""
 b_waldenburg,"""Waldenburg"""
 c_osterland,"""Osterland"""
 b_eilenburg,"""Eilenburg"""
 b_colditz,"""Colditz"""
 b_devin,"""Devin"""
 b_leisning,"""Leisning"""
 c_naumburg,"""Naumberg"""
 b_naumburg,"""Naumburg"""
 b_altenburg,"""Altenburg"""
 c_vogtland,"""Vogtland"""
 b_reichenbach,"""Reichenbach"""
 b_plauen,"""Plauen"""
 b_gera,"""Gera"""
 b_cheb,"""Cheb"""
 b_rehau,"""Rehau"""
 c_cottbus,"""Cottbus"""
 b_cottbus,"""Cottbus"""
 b_kamenz,"""Kamenz"""
 b_lubben,"""Lubben"""
 c_gorlitz,"1 ""Görlitz"""
 b_gorlitz,"""Görlitz"""
 b_bautzen,"1 ""Budissin"""
 b_spremberg,"""Spremberg"""
 d_lausitz,"""Lausitz"""
 c_juterbog,"""Jüterbog"""
 b_juterbog,"""Jüterbog"""
 b_dahme,"""Dahme"""
 c_wittenberg,"""Wittenberg"""
 b_wittenberg,"""Wittenberg"""
 b_belizi,"""Belizi"""
 c_brene,"""Brene"""
 b_torgau,"""Torgau"""
 b_brene,"""Brene"""
 b_duben,"""Düben"""
 c_spreewald,"""Spreewald"""
 b_spreewald,"1 ""Guben"""
 b_storkow,"""Storkow"""
 c_naumberg,"1 ""Lubsko"""
 b_naumberg,"1 ""Lubsko"""
 b_forst,"""Forst"""
 d_holstein,"""Holstein"""
 c_lubeck,"""Lubeck"""
 b_lubeck,"""Lübeck"""
 b_femera,"""Femera"""
 b_kiel,"""Kiel"""
 c_stade,"""Stade"""
 b_stade,"""Stade"""
 b_bederkesa,"""Bederkesa"""
 b_cuxhaven,"""Cuxhaven"""
 c_ditmarschen,"""Ditmarschen"""
 b_ditmarschen,"""Dithmarschen"""
 b_neumunster,"""Neumunster"""
 b_itzehoe,"""Itzehoe"""
 d_thuringia,"""Thüringia"""
 c_schmalkalden,"""Schmalkalden"""
 b_schmalkalden,"""Schmalkalden"""
 b_eisenach,"""Eisenach"""
 b_gleichen,"""Gleichen"""
 b_beichtinen,"""Beichtinen"""
 c_gottingen,"""Göttingen"""
 b_goslar,"""Goslar"""
 b_gottingen,"""Göttingen"""
 c_gleichenstein,"""Gleichenstein"""
 b_gleichenstein,"""Gleichenstein"""
 b_ebeleben,"""Ebeleben"""
 b_muhlhausen,"""Mulhausen"""
 c_orlamunde,"""Orlamünde"""
 b_orlamunde,"""Orlamünde"""
 b_schwarzburg,"1 ""Schwarzburg"""
 b_kafernburg,"""Kafernburg"""
 c_lobdaburg,"""Lobdaburg"""
 b_lobdaburg,"""Lobdaburg"""
 b_hof,"""Hof"""
 k_frisia,"""Frisia"""
 d_holland,"""Holland"""
 c_holland,"""Holland"""
 b_amsterdam,"""Amsterdam"""
 b_delft,"""Delft"""
 b_rotterdam,"""Rotterdam"""
 b_dort,"""Dort"""
 c_westfriesland,"""Westfriesland"""
 b_haarlem,"""Haarlem"""
 b_edam,"""Edam"""
 b_medemblik,"""Medemblik"""
 b_aalkmar,"""Aalkmar"""
 c_zeeland,"""Zeeland"""
 b_middelburg,"""Middelburg"""
 b_bergen_op_zoom,"""Bergen op Zoom"""
 b_brielle,"""Brielle"""
 d_gelre,"""Gelre"""
 c_guelders,"""Guelders"""
 b_geldern,"""Geldern"""
 b_nijmegen,"""Nijmegen"""
 b_tiel,"""Tiel"""
 c_arnhem,"""Arnheim"""
 b_arnhem,"""Arnhem"""
 b_apeldoorn,"""Apeldoorn"""
 b_harderwijk,"""Harderwijk"""
 c_zutphen,"""Zutphen"""
 b_zutphen,"""Zutphen"""
 b_borculo,"""Borculo"""
 b_bredevoort,"""Bredevoort"""
 d_utrecht,"""Utrecht"""
 c_nedersticht,"""Nedersticht"""
 b_utrecth,"""Utrecht"""
 b_amersfoort,"""Amersfoort"""
 c_oversticht,"""Oversticht"""
 b_zwolle,"""Zwolle"""
 b_kampen,"""Kampen"""
 b_ommen,"""Ommen"""
 b_almelo,"""Almelo"""
 b_coevorden,"""Coevorden"""
 c_groningen,"""Groningen"""
 b_groningen,"""Groningen"""
 b_assen,"""Assen"""
 b_emmen,"""Emmen"""
 b_steenwijk,"""Steenwijk"""
 d_frisia,"""Frisia"""
 c_dokkum,"""Dokkum"""
 b_dokkum,"""Dokkum"""
 b_appingedam,"""Appingedam"""
 b_delfzijl,"""Delfzijl"""
 c_ostfriesland,"""Ostfriesland"""
 b_emden,"""Emden"""
 b_wilhelmshaven,"""Wilhelmshaven"""
 b_varel,"""Varel"""
 c_frisia,"""Frisia"""
 b_leeuwarden,"""Leeuwarden"""
 b_staveren,"""Staveren"""
 b_harlingen,"""Harlingen"""
 b_wadeilannen,"""Wadeilannen"""
 k_lotharingia,"""Lotharingia"""
 d_luxembourg,"""Luxembourg"""
 c_luxembourg,"""Luxembourg"""
 b_luxembourg,"""Luxembourg"""
 b_bastogne,"""Bastogne"""
 b_clervaux,"""Clervaux"""
 b_vianden,"""Vianden"""
 b_diekirch,"""Diekirch"""
 c_bouillon,"""Bouillon"""
 b_bouillon,"""Bouillon"""
 b_chiny,"""Chiny"""
 b_saint_hubert,"""Saint-Hubert"""
 b_virton,"""Virton"""
 c_liege,"""Liege"""
 b_liege,"""Liege"""
 b_la_roche,"""La Roche"""
 b_huy,"""Huy"""
 c_namur,"""Namur"""
 b_namur,"""Namur"""
 b_charleroi,"""Charleroi"""
 b_couvin,"""Couvin"""
 d_brabant,"""Brabant"""
 c_brabant,"""Brabant"""
 b_leuven,"""Leuven"""
 b_brussels,"""Brussels"""
 b_turnhout,"""Turnhout"""
 c_antwerpen,"""Antwerpen"""
 b_antwerpen,"""Antwerpen"""
 b_rosendaal,"""Rosendaal"""
 b_breda,"""Breda"""
 c_hainaut,"""Hainaut"""
 b_mons,"""Mons"""
 b_tournai,"""Tournai"""
 b_ath,"""Ath"""
 c_cambray,"""Cambray"""
 b_cambrai,"""Cambrai"""
 b_malboden,"""Malboden"""
 b_valenciennes,"""Valenciennes"""
 d_julich,"""Jülich"""
 c_aachen,"""Aachen"""
 b_aachen,"""Aachen"""
 b_limbourg,"""Limbourg"""
 b_duren,"""Düren"""
 b_eschweiler,"""Eschweiler"""
 b_prum,"""Prüm"""
 c_cleves,"""Cleves"""
 b_kleve,"""Kleve"""
 b_gladbach,"""Gladbach"""
 b_wezel,"""Wezel"""
 b_moers,"""Moers"""
 c_maastricht,"""Maastricht"""
 b_maastricht,"""Maastricht"""
 b_eindhoven,"""Eindhoven"""
 b_tilburg,"""Tilburg"""
 d_upper_lorraine,"""Upper Lorraine"""
 c_trier,"""Trier"""
 b_trier,"""Trier"""
 b_beda,"""Beda"""
 b_konz,"""Konz"""
 b_wadern,"""Wadern"""
 c_nancy,"""Nancy"""
 b_nancy,"""Nancy"""
 b_epinal,"""Epinal"""
 b_blankenberg,"1 ""Lünstadt"""
 b_salm,"""Salm"""
 c_metz,"""Metz"""
 b_metz,"""Metz"""
 b_saarburg,"""Saarburg"""
 b_forbach,"""Forbach"""
 b_faulquemont,"""Faulquemont"""
 c_saarbrucken,"""Saarbrücken"""
 b_saarbrucken,"""Saarbrücken"""
 b_zweibrucken,"""Zweibrücken"""
 b_bitsch,"""Bitsch"""
 c_puttlingen,"""Puttlingen"""
 b_puttlingen,"""Puttlingen"""
 b_finstigen,"1 ""Finstingen"""
 c_neufchateau,"""Neufchâteau"""
 b_neufchateau,"""Neufchateau"""
 b_vaudemont,"""Vaudemont"""
 b_lure,"""Lure"""
 d_lower_lorraine,"""Lower Lorraine"""
 c_cologne,"""Cologne"""
 b_cologne,"""Cologne"""
 b_bonn,"""Bonn"""
 b_neuss,"""Neuss"""
 b_nauenahr,"""Nauenahr"""
 c_dortmund,"""Dortmund"""
 b_dortmund,"""Dortmund"""
 b_essen,"""Essen"""
 b_recklinghausen,"""Recklinghausen"""
 c_arnsberg,"""Arnsberg"""
 b_arnsberg,"""Arnsberg"""
 b_bilstein,"""Bilstein"""
 c_mark,"""Mark"""
 b_mark,"""Mark"""
 b_hagen,"""Hagen"""
 b_hukeswag,"""Hukeswag"""
 c_koblenz,"""Koblenz"""
 b_koblenz,"""Koblenz"""
 b_adenau,"""Adenau"""
 b_cochem,"""Cochem"""
 b_sponhem,"1 ""Sponheim"""
 c_bergh,"""Berg"""
 b_bergh,"""Bergh"""
 b_siegburg,"""Siegburg"""
 c_sayn,"""Sayn"""
 b_sayn,"""Sayn"""
 b_wied,"""Wied"""
 b_isenburg,"""Isenburg"""
 k_bavaria,"""Bavaria"""
 d_bavaria,"""Bavaria"""
 c_regensburg,"""Regensburg"""
 b_regensburg,"""Regensburg"""
 b_tegernheim,"""Tegernheim"""
 b_abensberg,"""Abensberg"""
 b_leonsberg,"""Leonsberg"""
 c_munchen,"""München"""
 b_munchen,"""München"""
 b_aheim,"""Aheim"""
 b_wolfratshausen,"""Wolfratshausen"""
 c_eschenlohe,"""Eschenlohe"""
 b_eschenlohe,"""Eschenlohe"""
 b_tolz,"""Tölz"""
 c_rothenburg,"""Rothenburg"""
 b_rothenburg,"""Rothenburg"""
 b_freising,"""Freising"""
 b_ilmunster,"1 ""Ilmmünster"""
 c_geisenhausen,"""Geisenhausen"""
 b_geisenhausen,"""Geisenhausen"""
 b_erding,"""Erding"""
 c_frontenhausen,"""Frontenhausen"""
 b_frontenhausen,"""Frontenhausen"""
 b_dornberg,"""Dornberg"""
 b_ortenburg,"""Ortenburg"""
